"country","code","year","life_exp","hc_exp","gni_percap","tb_per100K"
"Afghanistan","AFG","2000",55.1258780487805,NA,NA,190
"Afghanistan","AFG","2001",55.4875365853659,NA,NA,189
"Afghanistan","AFG","2002",55.8571951219512,15.48190406,890,189
"Afghanistan","AFG","2003",56.2352926829268,19.33236793,940,189
"Afghanistan","AFG","2004",56.6263170731707,20.89000224,940,189
"Afghanistan","AFG","2005",57.027243902439,21.89580296,1040,189
"Afghanistan","AFG","2006",57.4325609756098,22.18140928,1100,189
"Afghanistan","AFG","2007",57.8338292682927,26.98894729,1250,189
"Afghanistan","AFG","2008",58.2250243902439,33.80518937,1290,189
"Afghanistan","AFG","2009",58.6036829268293,43.52543981,1530,189
"Afghanistan","AFG","2010",58.9708292682927,52.8857608,1640,189
"Afghanistan","AFG","2011",59.3279512195122,52.38254929,1730,189
"Afghanistan","AFG","2012",59.6796097560976,58.16803071,1960,189
"Afghanistan","AFG","2013",60.0282682926829,53.36597308,1970,189
"Afghanistan","AFG","2014",60.3744634146342,56.57452735,1960,189
"Albania","ALB","2000",74.2715365853659,74.02882494,4140,23
"Albania","ALB","2001",74.7325609756098,78.66819861,4600,21
"Albania","ALB","2002",75.1546097560976,89.9161553,4870,23
"Albania","ALB","2003",75.5232926829268,112.63011779,5250,21
"Albania","ALB","2004",75.8312195121951,153.26255007,5660,21
"Albania","ALB","2005",76.0816097560976,166.22792891,6060,20
"Albania","ALB","2006",76.2861219512195,175.46111256,6830,18
"Albania","ALB","2007",76.4702926829268,216.94308134,7490,17
"Albania","ALB","2008",76.6520731707317,254.735035,8270,17
"Albania","ALB","2009",76.8403658536586,238.07097947,8680,17
"Albania","ALB","2010",77.0369512195122,219.27385748,9550,17
"Albania","ALB","2011",77.2405853658537,255.2555999,10180,17
"Albania","ALB","2012",77.4439756097561,239.51286789,10450,16
"Albania","ALB","2013",77.6404634146342,253.3418956,10600,18
"Albania","ALB","2014",77.8304634146342,272.20429151,11170,19
"Algeria","DZA","2000",70.1839024390244,61.30289682,7690,74
"Algeria","DZA","2001",70.601756097561,66.508593,8170,72
"Algeria","DZA","2002",71.0148536585366,66.18230218,8570,74
"Algeria","DZA","2003",71.421,75.43769203,9270,76
"Algeria","DZA","2004",71.8162682926829,92.1539956,9760,76
"Algeria","DZA","2005",72.1965609756098,100.35610741,10490,80
"Algeria","DZA","2006",72.5577073170732,116.33972015,10910,78
"Algeria","DZA","2007",72.8983658536585,150.54703923,11700,78
"Algeria","DZA","2008",73.2193170731707,206.40840341,12090,74
"Algeria","DZA","2009",73.5210243902439,207.72120828,12160,77
"Algeria","DZA","2010",73.8040487804878,228.91595202,12620,77
"Algeria","DZA","2011",74.07,286.968847,12900,73
"Algeria","DZA","2012",74.3240975609756,335.26909118,13300,73
"Algeria","DZA","2013",74.5689512195122,345.65370409,13520,68
"Algeria","DZA","2014",74.8080975609756,361.7291743,13960,72
"American Samoa","ASM","2000",NA,NA,NA,6
"American Samoa","ASM","2001",NA,NA,NA,5.9
"American Samoa","ASM","2002",NA,NA,NA,3.9
"American Samoa","ASM","2003",NA,NA,NA,5.8
"American Samoa","ASM","2004",NA,NA,NA,9.7
"American Samoa","ASM","2005",NA,NA,NA,12
"American Samoa","ASM","2006",NA,NA,NA,7.8
"American Samoa","ASM","2007",NA,NA,NA,6
"American Samoa","ASM","2008",NA,NA,NA,6
"American Samoa","ASM","2009",NA,NA,NA,8.2
"American Samoa","ASM","2010",NA,NA,NA,8.3
"American Samoa","ASM","2011",NA,NA,NA,6.2
"American Samoa","ASM","2012",NA,NA,NA,6.7
"American Samoa","ASM","2013",NA,NA,NA,7.2
"American Samoa","ASM","2014",NA,NA,NA,7.7
"Andorra","AND","2000",NA,1242.21097786,NA,21
"Andorra","AND","2001",NA,1268.63334966,NA,17
"Andorra","AND","2002",NA,1450.79647062,NA,8.1
"Andorra","AND","2003",NA,1827.84175497,NA,17
"Andorra","AND","2004",NA,2127.73674755,NA,10
"Andorra","AND","2005",NA,2089.66776214,NA,14
"Andorra","AND","2006",NA,2256.10300159,NA,17
"Andorra","AND","2007",NA,2997.57274716,NA,6.8
"Andorra","AND","2008",NA,3081.87021953,NA,5.4
